Country,Rank,Company,Industry,Location,Employees,S1_OpEx,S2_Size,S3_Minitab,S4_Azure,S5_Reach,Total_Score,Market_Tier,Segment,Pitch_Angle,Notes
Belgium,1,Umicore,Materials/Recycling,Brussels/Hoboken/Olen,5,5,5,5,5,25,7,HOT,Umicore Way + Microsoft AI partnership,"Perfect prospect. Azure AI platform agreement ⭐"
Belgium,2,Vandemoortele,Food,Ghent/Izegem,5,5,4,5,5,24,7,HOT,Factory of Future + Azure case study,"Proven Azure migration. Early adopter ⭐"
Belgium,3,Bekaert,Steel Wire,Zwevegem,5,5,5,5,5,25,7,HOT,WCM + Azure Data Lake TCS case study,"Azure Data Lake ready. HQ in Flanders ⭐"
Belgium,4,BASF Antwerpen,Chemicals,Antwerp,5,5,5,5,4,24,7,HOT,Verbund site inter-plant correlations,"Largest chemical site in Belgium. MS partner"
Belgium,5,Pfizer Puurs,Pharma,Puurs,5,5,5,5,4,24,7,HOT,Factory of Future + CPV forensic tool,"Global vaccine hub. Azure sovereign ⭐"
Belgium,6,Janssen (J&J),Pharma,Beerse/Geel,5,5,5,5,4,24,7,HOT,Factory of Future lighthouse + tech transfer,"Largest pharma employer BE. J&J MS partner"
Belgium,7,UCB Pharma,Pharma,Braine-l'Alleud,5,5,5,5,5,25,7,HOT,SKAI platform on Azure + buy vs build,"BEL20. Deep Azure. Perfect prospect ⭐⭐"
Belgium,8,Atlas Copco Airpower,Industrial,Wilrijk,5,5,5,5,4,24,7,HOT,World-class ops + test stand variation,"Global compressor HQ in Flanders"
Belgium,9,Daikin Europe,HVAC,Ostend,5,5,5,4,5,24,7,HOT,Multiple Factory of Future + heat pump scaling,"Expansion drives variation. Agoria active"
Belgium,10,Ontex,Hygiene,Aalst/Buggenhout,5,5,4,5,5,24,7,HOT,High-speed web + Azure/Inetum migration,"BEL20. Small variation = huge waste"
Belgium,11,Puratos,Food/Ingredients,Groot-Bijgaarden,5,5,4,5,5,24,7,HOT,Purabot Azure OpenAI + fermentation,"Already Azure AI user. Open culture ⭐"
Belgium,12,Takeda Belgium,Pharma,Lessines,5,5,5,4,4,23,7,HOT,Factory of Future + plasma biological var,"Biological variation in plasma fractionation"
